name,total_ops,threads,spent,throughput,latency
FxSeize,16777216,1,4187488307,4006510.5308961524,249
FxSeize,16777216,2,2061153176,8139723.042107376,245
FxSeize,16777216,3,1365878127,12283098.812665883,244
FxSeize,16777216,4,1032898968,16242843.220654665,246
FxSeize,16777216,5,834950254,20093671.353024106,248
FxSeize,16777216,6,701557692,23914235.69481724,250
FxSeize,16777216,7,606590865,27658207.480589077,253
FxSeize,16777216,8,538468234,31157299.42947758,256
FxSeize,16777216,9,516477541,32483921.696800366,277
FxSeize,16777216,10,473054444,35465719.03677116,281
FxSeize,16777216,11,435256906,38545548.086030826,285
FxSeize,16777216,12,436344535,38449469.75215354,312
FxSeize,16777216,13,375528909,44676230.23930762,290
FxSeize,16777216,14,353564776,47451604.73791088,295
FxSeize,16777216,15,343850938,48792119.333988845,307
FxSeize,16777216,16,324244036,51742558.49689707,309
FxSeize,16777216,17,364481580,46030353.57781317,369
FxSeize,16777216,18,357617457,46913861.92592941,383
FxSeize,16777216,19,359692508,46643217.82315243,407
FxSeize,16777216,20,361425859,46419523.070151985,430
FxSeize,16777216,21,380298724,44115888.2247525,476
FxSeize,16777216,22,343048673,48906226.201901086,449
FxSeize,16777216,23,352633910,47576865.19711051,483
FxDashMap,16777216,1,1666860908,10065156.55834194,99
FxDashMap,16777216,2,959654021,17482567.292863976,114
FxDashMap,16777216,3,664266644,25256749.155689955,118
FxDashMap,16777216,4,508414599,32999083.883505873,121
FxDashMap,16777216,5,420013728,39944446.768178016,125
FxDashMap,16777216,6,358621640,46782497.56484299,128
FxDashMap,16777216,7,319000673,52593042.64853384,133
FxDashMap,16777216,8,285652188,58733021.15228329,136
FxDashMap,16777216,9,341077617,49188850.75944459,182
FxDashMap,16777216,10,334204256,50200485.77717694,199
FxDashMap,16777216,11,293717605,57120226.07565522,192
FxDashMap,16777216,12,281375037,59625815.34907093,201
FxDashMap,16777216,13,297831991,56331141.405155495,230
FxDashMap,16777216,14,285551038,58753825.997298606,238
FxDashMap,16777216,15,258531736,64894222.50272593,231
FxDashMap,16777216,16,260615554,64375344.22830342,248
FxDashMap,16777216,17,275161974,60972145.80965319,278
FxDashMap,16777216,18,295213200,56830846.3171701,316
FxDashMap,16777216,19,273054893,61442649.18922365,309
FxDashMap,16777216,20,283169072,59248052.34379551,337
FxDashMap,16777216,21,286117211,58637563.05103925,358
FxDashMap,16777216,22,298024543,56294746.16793558,390
FxDashMap,16777216,23,279794562,59962623.57665121,383
