name,total_ops,threads,spent,throughput,latency
FxSeize,16777216,1,3245672963,5169102.429991188,193
FxSeize,16777216,2,1720496999,9751377.65991535,205
FxSeize,16777216,3,1111810424,15089997.033523047,198
FxSeize,16777216,4,863020769,19440106.892722994,205
FxSeize,16777216,5,689776948,24322668.434550237,205
FxSeize,16777216,6,568150713,29529516.7569384,203
FxSeize,16777216,7,489443281,34278161.84486553,204
FxSeize,16777216,8,446211361,37599257.81002246,212
FxSeize,16777216,9,485550269,34552994.964976534,260
FxSeize,16777216,10,441789257,37975608.809337795,263
FxSeize,16777216,11,406369789,41285588.77687632,266
FxSeize,16777216,12,384916154,43586676.80130671,275
FxSeize,16777216,13,356708812,47033365.69100513,276
FxSeize,16777216,14,335983973,49934572.32556745,280
FxSeize,16777216,15,321228210,52228339.47242678,287
FxSeize,16777216,16,303774707,55229140.58806088,289
FxSeize,16777216,17,328060303,51140646.54143784,332
FxSeize,16777216,18,361920697,46356055.730076134,388
FxSeize,16777216,19,373052855,44972758.61888257,422
FxSeize,16777216,20,335916717,49944570.04055562,400
FxSeize,16777216,21,335671317,49981083.13198532,420
FxSeize,16777216,22,344833981,48653024.13453273,452
FxSeize,16777216,23,332604165,50441990.105565876,455
FxDashMap,16777216,1,1670818519,10041315.56432671,99
FxDashMap,16777216,2,965611273,17374710.164552934,115
FxDashMap,16777216,3,675294546,24844293.648419306,120
FxDashMap,16777216,4,497969561,33691248.04799063,118
FxDashMap,16777216,5,431152558,38912481.646461666,128
FxDashMap,16777216,6,350401494,47879978.50260308,125
FxDashMap,16777216,7,318251167,52716903.3130364,132
FxDashMap,16777216,8,287753720,58304080.30867507,137
FxDashMap,16777216,9,347941700,48218468.78370715,186
FxDashMap,16777216,10,317323046,52871092.12987953,189
FxDashMap,16777216,11,288761008,58100697.58448828,189
FxDashMap,16777216,12,289388867,57974642.127473414,206
FxDashMap,16777216,13,280412421,59830502.30146545,217
FxDashMap,16777216,14,278149348,60317294.002788745,232
FxDashMap,16777216,15,266487727,62956805.5117225,238
FxDashMap,16777216,16,258591608,64879197.47186847,246
FxDashMap,16777216,17,273584155,61323785.363227636,277
FxDashMap,16777216,18,290304113,57791864.62990279,311
FxDashMap,16777216,19,306039524,54820422.475889094,346
FxDashMap,16777216,20,298944508,56121506.002043694,356
FxDashMap,16777216,21,279873841,59945638.14915449,350
FxDashMap,16777216,22,283095213,59263510.04741292,371
FxDashMap,16777216,23,276411929,60696425.29791108,378
