name,total_ops,threads,spent,throughput,latency
FxSeize,16777216,1,6473987650,2591481.001666724,385
FxSeize,16777216,2,4008792350,4185104.7735111546,477
FxSeize,16777216,3,2978521651,5632732.598860669,532
FxSeize,16777216,4,2237015838,7499819.945396381,533
FxSeize,16777216,5,1869365887,8974816.603144744,557
FxSeize,16777216,6,1567325132,10704362.26502109,560
FxSeize,16777216,7,1388389365,12083941.596599596,579
FxSeize,16777216,8,1222573825,13722865.365615038,582
FxSeize,16777216,9,1126949817,14887278.694149695,604
FxSeize,16777216,10,1024021008,16383663.878895734,610
FxSeize,16777216,11,948815573,17682273.012186322,622
FxSeize,16777216,12,872838121,19221451.94664338,624
FxSeize,16777216,13,824775191,20341562.383391332,639
FxSeize,16777216,14,777452479,21579731.820496257,648
FxSeize,16777216,15,738292046,22724362.38599271,660
FxSeize,16777216,16,701593960,23912999.479071915,669
FxSeize,16777216,17,735379813,22814354.84550077,745
FxSeize,16777216,18,757393319,22151259.562404457,812
FxSeize,16777216,19,745885787,22493009.375442088,844
FxSeize,16777216,20,752524287,22294584.094931677,897
FxSeize,16777216,21,764518412,21944816.15702409,956
FxSeize,16777216,22,752661635,22290515.71095423,986
FxSeize,16777216,23,765370009,21920399.02624405,1049
FxDashMap,16777216,1,2396811518,6999806.14829472,142
FxDashMap,16777216,2,1581979636,10605203.517297361,188
FxDashMap,16777216,3,1395168039,12025229.6003177,249
FxDashMap,16777216,4,1342888621,12493378.629946705,320
FxDashMap,16777216,5,1211897412,13843759.243872369,361
FxDashMap,16777216,6,749218348,22392959.335267108,267
FxDashMap,16777216,7,691920758,24247308.389033765,288
FxDashMap,16777216,8,860788933,19490510.805626262,410
FxDashMap,16777216,9,809416917,20727533.17558842,434
FxDashMap,16777216,10,939580524,17856070.418079462,560
FxDashMap,16777216,11,876616467,19138604.659590546,574
FxDashMap,16777216,12,651716808,25743107.73338226,466
FxDashMap,16777216,13,802350645,20910079.781888876,621
FxDashMap,16777216,14,751657913,22320281.220800508,627
FxDashMap,16777216,15,501095133,33481099.486152865,448
FxDashMap,16777216,16,713855035,23502273.119079422,680
FxDashMap,16777216,17,735928653,22797340.382940628,745
FxDashMap,16777216,18,544324327,30822094.78394303,583
FxDashMap,16777216,19,601965161,27870742.506309267,681
FxDashMap,16777216,20,745223095,22513011.355344538,888
FxDashMap,16777216,21,741508628,22625786.628068745,928
FxDashMap,16777216,22,587017767,28580422.847746618,769
FxDashMap,16777216,23,528764495,31729089.52595238,724
