name,total_ops,threads,spent,throughput,latency
FxSeize,16777216,1,5379508631,3118726.4768606336,320
FxSeize,16777216,2,6485569481,2586853.1744436957,773
FxSeize,16777216,3,4156878549,4036013.0329128844,743
FxSeize,16777216,4,3049796965,5501092.758809273,727
FxSeize,16777216,5,2440492730,6874519.966302051,727
FxSeize,16777216,6,2029145767,8268117.684223521,725
FxSeize,16777216,7,1779875611,9426060.954098888,742
FxSeize,16777216,8,1578804190,10626533.74387105,752
FxSeize,16777216,9,1440693289,11645237.836601043,772
FxSeize,16777216,10,1454958754,11531059.525829006,867
FxSeize,16777216,11,1229875379,13641395.12544872,806
FxSeize,16777216,12,1148395517,14609266.364804175,821
FxSeize,16777216,13,1087868290,15422102.247322604,842
FxSeize,16777216,14,1039321944,16142462.974879704,867
FxSeize,16777216,15,998686694,16799278.59337235,892
FxSeize,16777216,16,965818992,17370973.380072027,921
FxSeize,16777216,17,971049262,17277409.763378207,983
FxSeize,16777216,18,978551802,17144944.156977803,1049
FxSeize,16777216,19,970277545,17291151.471510146,1098
FxSeize,16777216,20,954323874,17580211.97738578,1137
FxSeize,16777216,21,939641237,17854916.68454734,1176
FxSeize,16777216,22,948520450,17687774.68108358,1243
FxSeize,16777216,23,924791867,18141612.83059813,1267
FxDashMap,16777216,1,1894479065,8855846.607098822,112
FxDashMap,16777216,2,2619433457,6404902.539198193,312
FxDashMap,16777216,3,2293733691,7314369.608742867,410
FxDashMap,16777216,4,1815774198,9239703.933715662,432
FxDashMap,16777216,5,1414835144,11858071.289187597,421
FxDashMap,16777216,6,1442149380,11633480.02132761,515
FxDashMap,16777216,7,1337393835,12544708.64223776,558
FxDashMap,16777216,8,1270184688,13208485.473413296,605
FxDashMap,16777216,9,879880659,19067604.030605245,472
FxDashMap,16777216,10,1184284255,14166544.838510917,705
FxDashMap,16777216,11,1108693848,15132415.526851557,726
FxDashMap,16777216,12,909287199,18450953.690375224,650
FxDashMap,16777216,13,833358178,20132058.99084607,645
FxDashMap,16777216,14,950937373,17642819.05029302,793
FxDashMap,16777216,15,750530408,22353812.478707723,671
FxDashMap,16777216,16,854670579,19630038.06639751,815
FxDashMap,16777216,17,703980726,23831925.193929248,713
FxDashMap,16777216,18,932984723,17982305.161496196,1000
FxDashMap,16777216,19,716310029,23421724.282461498,811
FxDashMap,16777216,20,695327116,24128522.552829653,828
FxDashMap,16777216,21,903602748,18567026.314532634,1131
FxDashMap,16777216,22,789649985,21246395.64198814,1035
FxDashMap,16777216,23,882682875,19007070.91434169,1210
