name,total_ops,threads,spent,throughput,latency
FxSeize,16777216,1,5033244267,3333280.705249746,300
FxSeize,16777216,2,2636932255,6362399.32527201,314
FxSeize,16777216,3,1769899592,9479190.839883532,316
FxSeize,16777216,4,1326848639,12644408.342344465,316
FxSeize,16777216,5,1073661617,15626167.25265685,319
FxSeize,16777216,6,897433699,18694657.91032213,320
FxSeize,16777216,7,768588696,21828601.028501205,320
FxSeize,16777216,8,695121862,24135647.168006923,331
FxSeize,16777216,9,648738351,25861298.278633755,348
FxSeize,16777216,10,583233499,28765864.835894827,347
FxSeize,16777216,11,535241393,31345139.257568598,350
FxSeize,16777216,12,495069171,33888630.079936855,354
FxSeize,16777216,13,458581811,36585000.96943444,355
FxSeize,16777216,14,430300731,38989513.127273776,359
FxSeize,16777216,15,406237482,41299035.03094281,363
FxSeize,16777216,16,384230678,43664436.39359791,366
FxSeize,16777216,17,477760119,35116401.16616766,484
FxSeize,16777216,18,493531488,33994215.988099225,529
FxSeize,16777216,19,459043166,36548231.71901877,519
FxSeize,16777216,20,422543382,39705310.069203734,503
FxSeize,16777216,21,452064448,37112442.87009272,565
FxSeize,16777216,22,428354290,39166681.39357259,561
FxSeize,16777216,23,445817803,37632449.5951096,611
FxDashMap,16777216,1,1663740635,10084033.320494093,99
FxDashMap,16777216,2,959749740,17480823.698894672,114
FxDashMap,16777216,3,678955822,24710320.548661556,121
FxDashMap,16777216,4,499316076,33600392.22931008,119
FxDashMap,16777216,5,398124917,42140582.72569762,118
FxDashMap,16777216,6,347825742,48234543.83660885,124
FxDashMap,16777216,7,292845550,57290322.49252208,122
FxDashMap,16777216,8,291593291,57536358.06387603,139
FxDashMap,16777216,9,334361401,50176892.27830458,179
FxDashMap,16777216,10,316594099,52992825.99705056,188
FxDashMap,16777216,11,300015416,55921179.73031093,196
FxDashMap,16777216,12,296018941,56676157.08415091,211
FxDashMap,16777216,13,286062427,58648792.76857984,221
FxDashMap,16777216,14,282317785,59426705.97249125,235
FxDashMap,16777216,15,269628197,62223521.82253401,241
FxDashMap,16777216,16,245854320,68240476.71808249,234
FxDashMap,16777216,17,291338894,57586598.78759614,295
FxDashMap,16777216,18,295767299,56724377.76834822,317
FxDashMap,16777216,19,277402506,60479684.34719188,314
FxDashMap,16777216,20,265652100,63154840.484980166,316
FxDashMap,16777216,21,292046621,57447047.12745161,365
FxDashMap,16777216,22,285492179,58765939.083746314,374
FxDashMap,16777216,23,271630702,61764800.0629914,372
