name,total_ops,threads,spent,throughput,latency
FxDashMap,16777216,1,2407100705,6969885.375028379,143
FxDashMap,16777216,2,1605297698,10451155.583728993,191
FxDashMap,16777216,3,1380897504,12149501.28550598,246
FxDashMap,16777216,4,953017744,17604306.011746198,227
FxDashMap,16777216,5,1201178109,13967300.830987755,357
FxDashMap,16777216,6,1097662981,15284487.397685137,392
FxDashMap,16777216,7,1037590838,16169394.895909825,432
FxDashMap,16777216,8,991707856,16917498.33229112,472
FxDashMap,16777216,9,684207793,24520644.4177405,367
FxDashMap,16777216,10,749571569,22382407.089402292,446
FxDashMap,16777216,11,699858705,23972290.235355433,458
FxDashMap,16777216,12,570860183,29389361.002254386,408
FxDashMap,16777216,13,611249763,27447398.781240918,473
FxDashMap,16777216,14,524779341,31970039.003498044,437
FxDashMap,16777216,15,544378058,30819052.59304187,486
FxDashMap,16777216,16,506930938,33095664.009364527,483
FxDashMap,16777216,17,737868712,22737399.929216675,747
FxDashMap,16777216,18,758740847,22111918.801176656,814
FxDashMap,16777216,19,758916416,22106803.392694037,859
FxDashMap,16777216,20,750254190,22362042.389926538,894
