name,total_ops,threads,spent,throughput,latency
FxDashMap,16777216,1,1656978633,10125185.4827026,98
FxDashMap,16777216,2,941792011,17814141.343358666,112
FxDashMap,16777216,3,684812076,24499007.228371363,122
FxDashMap,16777216,4,485029802,34590072.46734088,115
FxDashMap,16777216,5,406383435,41284202.44294652,121
FxDashMap,16777216,6,364604971,46014775.81061285,130
FxDashMap,16777216,7,316575294,52995973.842481844,132
FxDashMap,16777216,8,290544343,57744080.7374453,138
FxDashMap,16777216,9,348031809,48205984.52827051,186
FxDashMap,16777216,10,333877784,50249572.75983358,199
FxDashMap,16777216,11,288074291,58239199.137697436,188
FxDashMap,16777216,12,292892487,57281141.52685658,209
FxDashMap,16777216,13,291985917,57458990.393704504,226
FxDashMap,16777216,14,269743903,62196831.19214005,225
FxDashMap,16777216,15,261602224,64132543.460333884,233
FxDashMap,16777216,16,259415312,64673190.91789,247
FxDashMap,16777216,17,293253936,57210539.878312156,297
FxDashMap,16777216,18,272983108,61458806.454793535,292
FxDashMap,16777216,19,296095454,56661511.594838604,335
FxDashMap,16777216,20,279821193,59956916.84439355,333
FxDashMap,16777216,21,286398348,58580002.70308821,358
FxDashMap,16777216,22,283940439,59087096.07932951,372
FxDashMap,16777216,23,262496681,63914011.926116504,359
FxSeize,16777216,1,3965979877,4230282.68431126,236
FxSeize,16777216,2,2048989273,8188044.818524533,244
FxSeize,16777216,3,1376363982,12189519.79230157,246
FxSeize,16777216,4,1044680625,16059660.338775786,249
FxSeize,16777216,5,838232890,20014981.755249426,249
FxSeize,16777216,6,701704107,23909245.83828893,250
FxSeize,16777216,7,609222300,27538742.42620469,254
FxSeize,16777216,8,539222169,31113735.60755808,257
FxSeize,16777216,9,519479001,32296235.20431772,278
FxSeize,16777216,10,475509609,35282601.40795598,283
FxSeize,16777216,11,436649258,38422637.14553249,286
FxSeize,16777216,12,403991930,41528591.92014059,288
FxSeize,16777216,13,379872765,44165356.26079959,294
FxSeize,16777216,14,358409261,46810219.00268364,299
FxSeize,16777216,15,345083831,48617798.0329655,308
FxSeize,16777216,16,324376635,51721407.12292671,309
FxSeize,16777216,17,402359298,41697100.28671936,407
FxSeize,16777216,18,356645003,47041780.647071056,382
FxSeize,16777216,19,351554706,47722916.84242167,398
FxSeize,16777216,20,355879387,47142983.30518368,424
FxSeize,16777216,21,368659125,45508750.12248781,461
FxSeize,16777216,22,350925035,47808546.91658006,460
FxSeize,16777216,23,354882176,47275454.036891386,486
