name,total_ops,threads,spent,throughput,latency
FxSeize,16777216,1,3989717717,4205113.541871163,237
FxSeize,16777216,2,2016512945,8319914.851823577,240
FxSeize,16777216,3,1360339830,12333106.500307353,243
FxSeize,16777216,4,1015090719,16527799.620242612,242
FxSeize,16777216,5,1054156255,15915302.802998591,314
FxSeize,16777216,6,683227374,24555831.101697046,244
FxSeize,16777216,7,589053235,28481663.46119804,245
FxSeize,16777216,8,532341364,31515897.75766514,253
FxSeize,16777216,9,505835283,33167350.249863844,271
FxSeize,16777216,10,458574898,36585552.48700072,273
FxSeize,16777216,11,419009404,40040189.64691304,274
FxSeize,16777216,12,386626983,43393805.23785119,276
FxSeize,16777216,13,363714461,46127437.31407479,281
FxSeize,16777216,14,339545994,49410731.672481455,283
FxSeize,16777216,15,322246300,52063331.68138781,288
FxSeize,16777216,16,305919038,54842013.461090975,291
FxSeize,16777216,17,377743792,44414273.259585425,382
FxSeize,16777216,18,392397315,42755685.01277844,420
FxSeize,16777216,19,361162906,46453319.87665422,409
FxSeize,16777216,20,335784710,49964204.74297356,400
FxSeize,16777216,21,355648584,47173577.38727845,445
FxSeize,16777216,22,356286720,47089086.00354232,467
FxSeize,16777216,23,347607283,48264857.5576594,476
FxDashMap,16777216,1,1650156428,10167045.811731977,98
FxDashMap,16777216,2,958898143,17496348.41038586,114
FxDashMap,16777216,3,687008045,24420698.013805646,122
FxDashMap,16777216,4,502522029,33386030.92363141,119
FxDashMap,16777216,5,419055762,40035760.20510607,124
FxDashMap,16777216,6,344079035,48759774.04435583,123
FxDashMap,16777216,7,309515052,54204846.87768917,129
FxDashMap,16777216,8,292915060,57276727.253286324,139
FxDashMap,16777216,9,348773209,48103511.29922941,187
FxDashMap,16777216,10,320216822,52393299.93725314,190
FxDashMap,16777216,11,293963105,57072522.75757531,192
FxDashMap,16777216,12,313002162,53600958.83299363,223
FxDashMap,16777216,13,298157982,56269551.75729624,231
FxDashMap,16777216,14,287023501,58452412.22947803,239
FxDashMap,16777216,15,259273085,64708668.082535446,231
FxDashMap,16777216,16,258441296,64916931.851324566,246
FxDashMap,16777216,17,305946340,54837119.47657227,310
FxDashMap,16777216,18,277706126,60413561.06058676,297
FxDashMap,16777216,19,288021853,58249802.316215225,326
FxDashMap,16777216,20,279478770,60030377.262645036,333
FxDashMap,16777216,21,270986454,61911640.79367598,339
FxDashMap,16777216,22,300641340,55804753.93038097,394
FxDashMap,16777216,23,270219496,62087363.23007575,370
