name,total_ops,threads,spent,throughput,latency
FxSeize,16777216,1,3403263617,4929743.295874691,202
FxSeize,16777216,2,1927162863,8705655.511586102,229
FxSeize,16777216,3,1250602082,13415311.106126882,223
FxSeize,16777216,4,1011850764,16580721.779244512,241
FxSeize,16777216,5,813527957,20622789.734071795,242
FxSeize,16777216,6,674191558,24884939.303852867,241
FxSeize,16777216,7,567327148,29572383.516538505,236
FxSeize,16777216,8,567611782,29557554.18057901,270
FxSeize,16777216,9,500520304,33519551.286774572,268
FxSeize,16777216,10,450103090,37274163.12560751,268
FxSeize,16777216,11,413992937,40525367.70693747,271
FxSeize,16777216,12,388437048,43191595.874758065,277
FxSeize,16777216,13,357996587,46864178.624138676,277
FxSeize,16777216,14,340293746,49302157.90683382,283
FxSeize,16777216,15,320568853,52335764.51047164,286
FxSeize,16777216,16,305058885,54996647.614443354,290
FxSeize,16777216,17,358859547,46751482.96946382,363
FxSeize,16777216,18,373709576,44893727.850313365,400
FxSeize,16777216,19,372576030,45030315.020534195,421
FxSeize,16777216,20,350444914,47874046.19032365,417
FxSeize,16777216,21,351035012,47793568.807888605,439
FxSeize,16777216,22,324553095,51693286.117021926,425
FxSeize,16777216,23,351795308,47690277.89307526,482
FxDashMap,16777216,1,1668098869,10057686.814485814,99
FxDashMap,16777216,2,947729767,17702531.443227317,112
FxDashMap,16777216,3,675943042,24820458.17108951,120
FxDashMap,16777216,4,469582162,35727967.026140995,111
FxDashMap,16777216,5,426314736,39354060.705046795,127
FxDashMap,16777216,6,342856693,48933610.871641934,122
FxDashMap,16777216,7,317174468,52895859.19633355,132
FxDashMap,16777216,8,262062548,64019891.92290079,124
FxDashMap,16777216,9,344625380,48682473.7052158,184
FxDashMap,16777216,10,326846226,51330609.520331435,194
FxDashMap,16777216,11,324179104,51752922.35985698,212
FxDashMap,16777216,12,297867658,56324396.252512924,213
FxDashMap,16777216,13,300089685,55907339.834089935,232
FxDashMap,16777216,14,275511580,60894776.183273315,229
FxDashMap,16777216,15,265777595,63125020.000275046,237
FxDashMap,16777216,16,247124532,67889722.90294515,235
FxDashMap,16777216,17,282497432,59388915.08224401,286
FxDashMap,16777216,18,277947990,60360990.55798174,298
FxDashMap,16777216,19,272058224,61667740.652456805,308
FxDashMap,16777216,20,293233376,57214551.18396891,349
FxDashMap,16777216,21,263460089,63680294.28548473,329
FxDashMap,16777216,22,301818899,55587029.359616086,395
FxDashMap,16777216,23,263833939,63590059.95813146,361
